,Transaction,Item
0,1,杏仁巧克力豆
1,1,草莓季限定款巧克力禮盒
2,2,杏仁巧克力豆
3,2,杏仁巧克力豆
4,2,杏仁巧克力豆
5,2,海鹽巧克力BAR
6,2,海鹽巧克力BAR
7,2,海鹽巧克力BAR
8,2,草莓季限定款巧克力禮盒
9,3,杏仁巧克力豆
10,3,草莓季限定款巧克力禮盒
11,4,杏仁巧克力豆
12,4,草莓季限定款巧克力禮盒
13,4,草莓季限定款巧克力禮盒
14,5,杏仁巧克力豆
15,5,草莓季限定款巧克力禮盒
16,5,草莓季限定款巧克力禮盒
17,5,草莓季限定款巧克力禮盒
18,6,杏仁巧克力豆
19,6,草莓季限定款巧克力禮盒
20,7,牛奶巧克力BAR
21,7,杏仁巧克力豆
22,7,杏仁巧克力豆
23,7,抹茶拿鐵生巧克力
24,7,經典生巧克力
25,7,草莓季限定款巧克力禮盒
26,7,草莓季限定款巧克力禮盒
27,7,草莓季限定款巧克力禮盒
28,8,杏仁巧克力豆
29,8,海鹽巧克力BAR
30,8,經典生巧克力
31,8,草莓季限定款巧克力禮盒
32,9,杏仁巧克力豆
33,9,抹茶拿鐵生巧克力
34,9,85%巧克力禮盒
35,9,綜合巧克力禮盒(大盒)
36,10,杏仁巧克力豆
37,10,草莓季限定款巧克力禮盒
38,11,杏仁巧克力豆
39,11,經典生巧克力
40,12,烘培可可豆
41,12,烘培可可豆
42,12,烘培可可豆
43,13,杏仁巧克力豆
44,13,85%巧克力禮盒
45,13,85%巧克力禮盒
46,13,草莓季限定款巧克力禮盒
47,14,杏仁巧克力豆
48,14,杏仁巧克力豆
49,14,杏仁巧克力豆
50,14,杏仁巧克力豆
51,14,經典生巧克力
52,14,經典生巧克力
53,14,草莓季限定款巧克力禮盒
54,14,草莓季限定款巧克力禮盒
55,14,草莓季限定款巧克力禮盒
56,14,草莓季限定款巧克力禮盒
57,14,草莓季限定款巧克力禮盒
58,14,草莓季限定款巧克力禮盒
59,14,草莓季限定款巧克力禮盒
60,15,經典生巧克力
61,15,經典生巧克力
62,16,杏仁巧克力豆
63,16,抹茶拿鐵生巧克力
64,16,草莓季限定款巧克力禮盒
65,17,綜合巧克力禮盒(小盒)
66,17,海鹽巧克力BAR
67,17,草莓季限定款巧克力禮盒
68,18,杏仁巧克力豆
69,18,杏仁巧克力豆
70,18,杏仁巧克力豆
